comparison,regulon,beta_higher_minus_lower,p,q_fdr,significant_fdr,n_donors_lower,n_donors_higher,direction
Not AD vs Low,ATF3_direct_+/+_(12g),0.05447773520064908,0.5042705054440415,0.9496056441000641,False,3,4,up
Not AD vs Low,CEBPD_direct_+/+_(7g),0.030159176444492813,0.6386301596841097,0.9496056441000641,False,3,4,up
Not AD vs Low,ELF1_direct_+/+_(271g),0.0018236283374386472,0.8230937913631994,0.9496056441000641,False,3,4,up
Not AD vs Low,ELF1_direct_+/-_(1705g),-0.005864795742307948,0.32062170908588683,0.8878755020839944,False,3,4,down
Not AD vs Low,ELF2_direct_+/-_(1795g),-0.003427420757653162,0.4775123754253026,0.9496056441000641,False,3,4,down
Not AD vs Low,ETS1_direct_+/+_(146g),0.004410343616346332,0.11840141454612864,0.8851897668641233,False,3,4,up
Not AD vs Low,ETS1_direct_+/-_(170g),0.0010598918252389875,0.7179018952255238,0.9496056441000641,False,3,4,up
Not AD vs Low,ETS1_direct_-/+_(5g),-0.012009802918163373,0.8432020179500572,0.9496056441000641,False,3,4,down
Not AD vs Low,ETV6_direct_+/+_(97g),-0.015366558137934534,0.4083071410805637,0.9393557512129583,False,3,4,down
Not AD vs Low,ETV6_direct_+/-_(1145g),-0.012007498917899035,0.19405523724686657,0.8851897668641233,False,3,4,down
Not AD vs Low,FLI1_direct_+/+_(291g),0.0005224683679145599,0.9695674345117908,0.9737918453308361,False,3,4,up
Not AD vs Low,FLI1_direct_+/-_(1452g),-0.0036960939111078017,0.7920453620661021,0.9496056441000641,False,3,4,down
Not AD vs Low,FOS_direct_+/+_(9g),0.007968824220976225,0.8968497749833938,0.9496056441000641,False,3,4,up
Not AD vs Low,FOXO3_direct_+/+_(1096g),0.0036969891819029774,0.6467413642381561,0.9496056441000641,False,3,4,up
Not AD vs Low,FOXO3_direct_+/-_(1443g),0.0030569040059862263,0.7457479043119724,0.9496056441000641,False,3,4,up
Not AD vs Low,IKZF3_direct_+/+_(209g),0.003279504905612692,0.19460883051483363,0.8851897668641233,False,3,4,up
Not AD vs Low,ILF3_direct_+/-_(7g),0.03421195260265641,0.5655902963327641,0.9496056441000641,False,3,4,up
Not AD vs Low,MAF_direct_+/+_(14g),0.014483684169851418,0.13187298594495528,0.8851897668641233,False,3,4,up
Not AD vs Low,MEF2A_direct_+/+_(259g),-0.00037577897639432033,0.9737918453308361,0.9737918453308361,False,3,4,down
Not AD vs Low,MEF2A_direct_+/-_(102g),-0.0016966605722755015,0.8873893063372654,0.9496056441000641,False,3,4,down
Not AD vs Low,MEF2C_direct_+/+_(567g),-0.004528020479800541,0.6959621495128347,0.9496056441000641,False,3,4,down
Not AD vs Low,MEF2C_direct_+/-_(602g),-0.0019475466130952877,0.8733706438351152,0.9496056441000641,False,3,4,down
Not AD vs Low,MEF2C_direct_-/+_(32g),0.0058732506641195475,0.014162700470537562,0.5098572169393523,False,3,4,up
Not AD vs Low,MXI1_direct_+/-_(9g),0.025129771652980366,0.2807277142915751,0.8878755020839944,False,3,4,up
Not AD vs Low,RB1_direct_+/-_(1684g),-0.009415647052311774,0.16271013998941142,0.8851897668641233,False,3,4,down
Not AD vs Low,SMAD3_direct_+/+_(6g),0.018030601542253697,0.2458860463511454,0.8851897668641233,False,3,4,up
Not AD vs Low,TBL1XR1_direct_+/-_(802g),-0.015113789772448195,0.22446412655274273,0.8851897668641233,False,3,4,down
Not AD vs Low,TCF12_direct_+/+_(1536g),-0.011953780157317349,0.23736787447455965,0.8851897668641233,False,3,4,down
Not AD vs Low,TCF12_direct_+/-_(1905g),-0.012126330092327718,0.21757605218830461,0.8851897668641233,False,3,4,down
Not AD vs Low,UBE2K_direct_+/-_(1242g),-0.007750440033233654,0.36103918000414376,0.9283864628677982,False,3,4,down
Not AD vs Low,ZBTB16_direct_+/+_(15g),0.008678390341233027,0.6552816718743917,0.9496056441000641,False,3,4,up
Not AD vs Low,ZBTB20_direct_+/+_(647g),0.00304020963620742,0.7998874398360816,0.9496056441000641,False,3,4,up
Not AD vs Low,ZBTB20_direct_+/-_(772g),0.002908431154172247,0.8239466869005688,0.9496056441000641,False,3,4,up
Not AD vs Low,ZNF148_direct_+/+_(1594g),-0.00653129480151327,0.4360101892725857,0.9393557512129583,False,3,4,down
Not AD vs Low,ZNF148_direct_+/-_(1767g),-0.005599893844737381,0.4435846602950081,0.9393557512129583,False,3,4,down
Not AD vs Low,ZNF207_direct_+/-_(764g),-0.006540151507135,0.30997217470730015,0.8878755020839944,False,3,4,down
Low vs Intermediate,ATF3_direct_+/+_(12g),-0.03999052612708196,0.2823457236129277,0.6082192715322176,False,4,9,down
Low vs Intermediate,CEBPD_direct_+/+_(7g),-0.017739700223863016,0.6590233081032157,0.911816093262824,False,4,9,down
Low vs Intermediate,ELF1_direct_+/+_(271g),-0.001360453431993486,0.823348590945302,0.911816093262824,False,4,9,down
Low vs Intermediate,ELF1_direct_+/-_(1705g),0.006289677993600047,0.16866873710821315,0.5649201177034402,False,4,9,up
Low vs Intermediate,ELF2_direct_+/-_(1795g),0.005065966555494154,0.2840396245351756,0.6082192715322176,False,4,9,up
Low vs Intermediate,ETS1_direct_+/+_(146g),-0.00039972064844107314,0.942571096387637,0.9695016991415696,False,4,9,down
Low vs Intermediate,ETS1_direct_+/-_(170g),0.002359978120192692,0.7093840735145303,0.911816093262824,False,4,9,up
Low vs Intermediate,ETS1_direct_-/+_(5g),0.009240975972814492,0.8290295705820491,0.911816093262824,False,4,9,up
Low vs Intermediate,ETV6_direct_+/+_(97g),-0.010781338535358545,0.34587717282236485,0.6225789110802568,False,4,9,down
Low vs Intermediate,ETV6_direct_+/-_(1145g),-0.008843517020334705,0.1726144804093845,0.5649201177034402,False,4,9,down
Low vs Intermediate,FLI1_direct_+/+_(291g),0.0022828609087516888,0.8088584562165182,0.911816093262824,False,4,9,up
Low vs Intermediate,FLI1_direct_+/-_(1452g),0.008529457823028328,0.3166023300190936,0.6225789110802568,False,4,9,up
Low vs Intermediate,FOS_direct_+/+_(9g),-0.040391004668152035,0.23178277514037404,0.598325754416936,False,4,9,down
Low vs Intermediate,FOXO3_direct_+/+_(1096g),0.011477943343384167,0.06074643152680098,0.5649201177034402,False,4,9,up
Low vs Intermediate,FOXO3_direct_+/-_(1443g),0.01637446740509556,0.016997859917911255,0.5500367002525598,False,4,9,up
Low vs Intermediate,IKZF3_direct_+/+_(209g),0.0013868051093986246,0.8358314188242553,0.911816093262824,False,4,9,up
Low vs Intermediate,ILF3_direct_+/-_(7g),-0.04507859414100742,0.10000694268315197,0.5649201177034402,False,4,9,down
Low vs Intermediate,MAF_direct_+/+_(14g),-0.007436284614981602,0.1373177489368669,0.5649201177034402,False,4,9,down
Low vs Intermediate,MEF2A_direct_+/+_(259g),0.009799951706071239,0.23268223782880848,0.598325754416936,False,4,9,up
Low vs Intermediate,MEF2A_direct_+/-_(102g),0.012957634938345364,0.1533100470534854,0.5649201177034402,False,4,9,up
Low vs Intermediate,MEF2C_direct_+/+_(567g),0.009542028367612298,0.21699545832689912,0.598325754416936,False,4,9,up
Low vs Intermediate,MEF2C_direct_+/-_(602g),0.013894413823842251,0.08527295569286124,0.5649201177034402,False,4,9,up
Low vs Intermediate,MEF2C_direct_-/+_(32g),-9.41523211566012e-05,0.9911963349382131,0.9911963349382131,False,4,9,down
Low vs Intermediate,MXI1_direct_+/-_(9g),-0.017663882209737365,0.28721465600132495,0.6082192715322176,False,4,9,down
Low vs Intermediate,RB1_direct_+/-_(1684g),-0.002831704076903021,0.5171549935846065,0.8462536258657196,False,4,9,down
Low vs Intermediate,SMAD3_direct_+/+_(6g),-0.0027246972437056744,0.7354382025045061,0.911816093262824,False,4,9,down
Low vs Intermediate,TBL1XR1_direct_+/-_(802g),0.002391920621089726,0.7353678931872074,0.911816093262824,False,4,9,up
Low vs Intermediate,TCF12_direct_+/+_(1536g),-0.0031784081418563337,0.5891974956506041,0.8859308400638221,False,4,9,down
Low vs Intermediate,TCF12_direct_+/-_(1905g),0.0005068784041436229,0.929366985121856,0.9695016991415696,False,4,9,up
Low vs Intermediate,UBE2K_direct_+/-_(1242g),0.0017835227932344302,0.745825716888546,0.911816093262824,False,4,9,up
Low vs Intermediate,ZBTB16_direct_+/+_(15g),0.02830834530869573,0.0899173290452186,0.5649201177034402,False,4,9,up
Low vs Intermediate,ZBTB20_direct_+/+_(647g),0.010645437956153936,0.17015053070102817,0.5649201177034402,False,4,9,up
Low vs Intermediate,ZBTB20_direct_+/-_(772g),0.02027121848462285,0.030557594458475543,0.5500367002525598,False,4,9,up
Low vs Intermediate,ZNF148_direct_+/+_(1594g),0.003011306667434826,0.590620560042548,0.8859308400638221,False,4,9,up
Low vs Intermediate,ZNF148_direct_+/-_(1767g),0.004731873926090239,0.36640925930471524,0.6281301588080832,False,4,9,up
Low vs Intermediate,ZNF207_direct_+/-_(764g),0.00503724726665016,0.3430282100318105,0.6225789110802568,False,4,9,up
Intermediate vs High,ATF3_direct_+/+_(12g),-0.016634273633178365,0.05851353892105306,0.2728877484303585,False,9,11,down
Intermediate vs High,CEBPD_direct_+/+_(7g),-0.04225091602028935,0.12990064926781897,0.2922764608525927,False,9,11,down
Intermediate vs High,ELF1_direct_+/+_(271g),0.013764794488659238,0.03463584756106572,0.2728877484303585,False,9,11,up
Intermediate vs High,ELF1_direct_+/-_(1705g),0.007785591519869281,0.07804759127894961,0.2728877484303585,False,9,11,up
Intermediate vs High,ELF2_direct_+/-_(1795g),0.007985948407196589,0.0909625828101195,0.2728877484303585,False,9,11,up
Intermediate vs High,ETS1_direct_+/+_(146g),0.003315278328143204,0.5857392062340419,0.6589566070132972,False,9,11,up
Intermediate vs High,ETS1_direct_+/-_(170g),0.0062898060545359315,0.28353702662849933,0.49434205900948525,False,9,11,up
Intermediate vs High,ETS1_direct_-/+_(5g),-0.03662985861026597,0.16032542543252293,0.32065085086504586,False,9,11,down
Intermediate vs High,ETV6_direct_+/+_(97g),0.006328730713876948,0.3618023198388033,0.5263974913069885,False,9,11,up
Intermediate vs High,ETV6_direct_+/-_(1145g),0.011600472799619812,0.06327900865623783,0.2728877484303585,False,9,11,up
Intermediate vs High,FLI1_direct_+/+_(291g),0.013804626633739978,0.06703964614501146,0.2728877484303585,False,9,11,up
Intermediate vs High,FLI1_direct_+/-_(1452g),0.010678092740029933,0.1116962178136216,0.2872188458064555,False,9,11,up
Intermediate vs High,FOS_direct_+/+_(9g),-0.01754577120185189,0.29163035774670026,0.49434205900948525,False,9,11,down
Intermediate vs High,FOXO3_direct_+/+_(1096g),0.005240719206212607,0.36555381340763093,0.5263974913069885,False,9,11,up
Intermediate vs High,FOXO3_direct_+/-_(1443g),0.004315345583639961,0.4837289883880792,0.5823456922748265,False,9,11,up
Intermediate vs High,IKZF3_direct_+/+_(209g),0.004444197314842302,0.4628003728094622,0.5823456922748265,False,9,11,up
Intermediate vs High,ILF3_direct_+/-_(7g),-0.0009073175399729252,0.8516827882825478,0.8516827882825478,False,9,11,down
Intermediate vs High,MAF_direct_+/+_(14g),0.008247598453505655,0.03381427213197669,0.2728877484303585,False,9,11,up
Intermediate vs High,MEF2A_direct_+/+_(259g),0.0026232707009975695,0.6507755277915076,0.7099369394089174,False,9,11,up
Intermediate vs High,MEF2A_direct_+/-_(102g),0.0017803912273787331,0.7939428444897618,0.8406453647538655,False,9,11,up
Intermediate vs High,MEF2C_direct_+/+_(567g),0.004882534091410248,0.3816558017653463,0.528446494752018,False,9,11,up
Intermediate vs High,MEF2C_direct_+/-_(602g),0.005779938533135014,0.3599681075924651,0.5263974913069885,False,9,11,up
Intermediate vs High,MEF2C_direct_-/+_(32g),0.006454977149112404,0.48528807689568876,0.5823456922748265,False,9,11,up
Intermediate vs High,MXI1_direct_+/-_(9g),-0.0017363777325062136,0.8365176049713693,0.8516827882825478,False,9,11,down
Intermediate vs High,RB1_direct_+/-_(1684g),0.007306256486043782,0.06745624111480854,0.2728877484303585,False,9,11,up
Intermediate vs High,SMAD3_direct_+/+_(6g),-0.005992063588423432,0.12386008833143515,0.2922764608525927,False,9,11,down
Intermediate vs High,TBL1XR1_direct_+/-_(802g),0.010527473642197534,0.06817810992192591,0.2728877484303585,False,9,11,up
Intermediate vs High,TCF12_direct_+/+_(1536g),0.008420469443879672,0.07912776902864106,0.2728877484303585,False,9,11,up
Intermediate vs High,TCF12_direct_+/-_(1905g),0.007810401421283281,0.08997274223703708,0.2728877484303585,False,9,11,up
Intermediate vs High,UBE2K_direct_+/-_(1242g),0.00815036545846055,0.06680653725181462,0.2728877484303585,False,9,11,up
Intermediate vs High,ZBTB16_direct_+/+_(15g),0.010805662684363386,0.43362240785675965,0.5781632104756795,False,9,11,up
Intermediate vs High,ZBTB20_direct_+/+_(647g),0.006802989312073907,0.302097924950241,0.49434205900948525,False,9,11,up
Intermediate vs High,ZBTB20_direct_+/-_(772g),0.004789498101134659,0.5457185694207056,0.6337376935208194,False,9,11,up
Intermediate vs High,ZNF148_direct_+/+_(1594g),0.005792315326828838,0.15150805968135503,0.32065085086504586,False,9,11,up
Intermediate vs High,ZNF148_direct_+/-_(1767g),0.005239919708126227,0.17768032624362431,0.3366574602510776,False,9,11,up
Intermediate vs High,ZNF207_direct_+/-_(764g),0.007425482795910172,0.09973307586588193,0.27618390239782686,False,9,11,up
